,source,target,content
34,kevinmj76,GOP,non tweet
35,kevinmj76,GOP,non tweet
52,2whltrvlr,POTUS,non tweet
53,2whltrvlr,FLOTUS,non tweet
82,jason2point0_0,dojacat,non tweet
92,Mimibear9294,dbongino,non tweet
234,2whltrvlr,POTUS,non tweet
235,2whltrvlr,FLOTUS,non tweet
237,TrumpPasta,dbongino,non tweet
260,Albin1887,FoxNews,non tweet
370,angelsbosch,guardiacivil,non tweet
387,2whltrvlr,POTUS,non tweet
388,2whltrvlr,FLOTUS,non tweet
445,generictaghere,JustinTrudeau,non tweet
487,DrKok2Puss,nypost,non tweet
501,Triggered_2020,nytimes,non tweet
502,Triggered_2020,Tesla,non tweet
555,2whltrvlr,POTUS,non tweet
556,2whltrvlr,FLOTUS,non tweet
587,MyReasons23,YouTube,non tweet
625,TommyLB12,dbongino,non tweet
636,Amylia80,GOP,non tweet
662,BrainyPoet,nypost,non tweet
663,BrainyPoet,nypost,non tweet
722,AJMorocco,TODAYshow,non tweet
733,919_nerd,NYGovCuomo,non tweet
766,2whltrvlr,POTUS,non tweet
767,2whltrvlr,FLOTUS,non tweet
824,madkat2001,DineshDSouza,non tweet
858,Daphne_488,BernieSanders,non tweet
860,Daphne_488,businessinsider,non tweet
862,Daphne_488,NBCNews,non tweet
867,Thesanelib,FoxNews,non tweet
868,Thesanelib,FoxNews,non tweet
895,SebastianOttawa,seanhannity,non tweet
896,comgeek25,businessinsider,non tweet
900,wobiobi,nowthisnews,non tweet
933,count_210,YouTube,non tweet
947,1reddragon696,YouTube,non tweet
960,MyReasons23,YouTube,non tweet
966,WieblesWobbles,YouTube,non tweet
967,Gummbyman32,YouTube,non tweet
969,Jason_Chi7,YouTube,non tweet
970,Runkenstein,YouTube,non tweet
971,MyReasons23,YouTube,non tweet
976,Gail92811724,YouTube,non tweet
978,MyReasons23,YouTube,non tweet
1004,MyReasons23,YouTube,non tweet
1033,MyReasons23,YouTube,non tweet
1062,Annabanana305,nowthisnews,non tweet
1079,gntlman,nypost,non tweet
1144,Jeje_Baby,nowthisnews,non tweet
1153,tryinED,nowthisnews,non tweet
1155,Black41Reverse,NBCNews,non tweet
1158,CJ39734277,CNNPolitics,non tweet
1159,pimperella,nowthisnews,non tweet
1178,Cleverchuckpun,nowthisnews,non tweet
1215,chamberhands,ABC,non tweet
1227,headbandcuties,nowthisnews,non tweet
1244,jermahonjayhawk,tedcruz,non tweet
1245,jermahonjayhawk,IngrahamAngle,non tweet
1259,Jeje_Baby,cnni,non tweet
1260,phish100blog,nowthisnews,non tweet
1261,symonelyfy,nowthisnews,non tweet
1264,camgreer11,ava,non tweet
1269,King__Larenz,iamjamiefoxx,non tweet
1293,Marcella555,nowthisnews,non tweet
1308,chiaks4,FLOTUS,non tweet
1309,chiaks4,WhiteHouse,non tweet
1349,2whltrvlr,POTUS,non tweet
1350,2whltrvlr,FLOTUS,non tweet
1415,skinnyfroglegs,nowthisnews,non tweet
1421,Zippyreturns,nowthisnews,non tweet
1423,i83701,Franklin_Graham,non tweet
1424,JerryFalwellJrP,Franklin_Graham,non tweet
1425,whatntarnation_,nowthisnews,non tweet
1430,jgcarey80,nowthisnews,non tweet
1431,imagesbyterrian,nowthisnews,non tweet
1465,SMARTFOXNEWS1,MarvelStudios,non tweet
1477,BlueLivesNYC,Giants,non tweet
1480,BlueLivesNYC,TomiLahren,non tweet
1484,BlueLivesNYC,VP,non tweet
1485,BlueLivesNYC,dbongino,non tweet
1490,righterwinger,NYGovCuomo,non tweet
1500,Jeje_Baby,ABC,non tweet
1546,zohinton010,USArmy,non tweet
1554,zohinton010,POTUS,non tweet
1555,zohinton010,FLOTUS,non tweet
1557,zohinton010,VP,non tweet
1596,2whltrvlr,POTUS,non tweet
1597,2whltrvlr,FLOTUS,non tweet
1598,LaraM_NYC,WSJ,non tweet
1602,ThatGuyCrisby,thehill,non tweet
1606,ntjockey,YouTube,non tweet
1630,Smokey3477,NYGovCuomo,non tweet
1637,BlueLivesNYC,VP,non tweet
1650,dcascarrias,ABC,non tweet
1705,Asgard2010,dbongino,non tweet
1707,Asgard2010,TuckerCarlson,non tweet
1708,Asgard2010,IngrahamAngle,non tweet
1721,KittyLovesGod,dbongino,non tweet
1722,KittyLovesGod,seanhannity,non tweet
1723,KittyLovesGod,IngrahamAngle,non tweet
1736,DianeP81,NYGovCuomo,non tweet
1739,thetsmorgan,NPR,non tweet
1755,RealMichaelNVA,LindseyGrahamSC,non tweet
1772,BlueLivesNYC,VP,non tweet
1774,BlueLivesNYC,DonaldJTrumpJr,non tweet
1831,2whltrvlr,POTUS,non tweet
1832,2whltrvlr,FLOTUS,non tweet
1854,TurnBasedCarl,NPR,non tweet
1878,BlueLivesNYC,VP,non tweet
1879,BlueLivesNYC,TomiLahren,non tweet
1880,BlueLivesNYC,DonaldJTrumpJr,non tweet
1958,barb2entropy,POTUS,non tweet
1990,MissionaryBLMM,SpeakerPelosi,non tweet
2034,IL1keSquirr3ls,GMA,non tweet
2055,MaryAnn29393212,TheJusticeDept,non tweet
2064,2whltrvlr,POTUS,non tweet
2065,2whltrvlr,FLOTUS,non tweet
2071,myvision4Canada,washingtonpost,non tweet
2128,ronchofandango,GavinNewsom,non tweet
2174,__gnarly,maggieNYT,non tweet
2212,luncheonham,CGTNOfficial,non tweet
2278,2whltrvlr,POTUS,non tweet
2279,2whltrvlr,FLOTUS,non tweet
2295,DurdyGP,POTUS,non tweet
2300,DurdyGP,Jim_Jordan,non tweet
2378,RespectTheUS,MailOnline,non tweet
2438,joshkooler,politico,non tweet
2442,shanta79,TheJusticeDept,non tweet
2464,BillyKi88394399,SkyNews,non tweet
2486,FBurew,nytimes,non tweet
2487,FBurew,NYMag,non tweet
2489,FBurew,nypost,non tweet
2524,TheGoldManGuns,KingJames,non tweet
2593,appl3s,SenTedCruz,non tweet
2595,305ALLtheWAY,Kaepernick7,non tweet
2599,noonan66,Kaepernick7,non tweet
2612,SassyVeteran,Jim_Jordan,non tweet
2613,SassyVeteran,GOP,non tweet
2623,CkDexter15,SenTedCruz,non tweet
2638,Ukraine_parody,RealCandaceO,non tweet
2643,JohnDoeOU812,nbcsnl,non tweet
2645,ImperatriceV,dbongino,non tweet
2646,ImperatriceV,TomiLahren,non tweet
2661,ImperatriceV,FoxNews,non tweet
2664,Speriaisland16,Kaepernick7,non tweet
2665,DavidShaneLowry,nowthisnews,non tweet
2673,TheBreakerOfWal,GavinNewsom,non tweet
2679,maccoubrey,Kaepernick7,non tweet
2785,DTITranslation,GOP,non tweet
2809,Editorial_Write,YouTube,non tweet
2820,2whltrvlr,POTUS,non tweet
2821,2whltrvlr,FLOTUS,non tweet
2847,LadyKayRising,TuckerCarlson,non tweet
2848,LadyKayRising,TheJusticeDept,non tweet
2870,AutoVisionzEmbl,YouTube,non tweet
2920,huskerpower101,GOP,non tweet
2942,Wiezguy,FBI,non tweet
2983,angelsbosch,policia,non tweet
2994,YusefforPeace,AP,non tweet
3002,2whltrvlr,POTUS,non tweet
3003,2whltrvlr,FLOTUS,non tweet
3058,MissionaryBLMM,AP,non tweet
3059,MissionaryBLMM,CNN,non tweet
3060,MissionaryBLMM,nytimes,non tweet
3062,MissionaryBLMM,foxnews,non tweet
3073,DarkSideAdvcate,MichelleObama,non tweet
3092,MissionaryBLMM,SpeakerPelosi,non tweet
3120,wuzagooddog,YouTube,non tweet
3159,305ALLtheWAY,Kaepernick7,non tweet
3162,Alex504B0Y,Kaepernick7,non tweet
3165,LemStraw,JoeBiden,non tweet
3210,nighthawk006,JoyAnnReid,non tweet
3273,EhisnosaJohn,TomiLahren,non tweet
3279,2whltrvlr,POTUS,non tweet
3280,2whltrvlr,FLOTUS,non tweet
3302,itsnotlogi,TMZ,non tweet
3326,NegativeTurb,CNN,non tweet
3352,jester_60,IngrahamAngle,non tweet
3354,jester_60,NYGovCuomo,non tweet
3356,jester_60,aoc,non tweet
3357,jester_60,SenSchumer,non tweet
3373,JerryFalwellJrP,CNN,non tweet
3374,JerryFalwellJrP,PressSec,non tweet
3393,justbeingme365,POTUS,non tweet
3400,unknowgenius10,FoxNews,non tweet
3410,brucemcneill5,FBI,non tweet
3421,bravado8513,nowthisnews,non tweet
3425,jenkinst72,IngrahamAngle,non tweet
3455,Guygies,JackPosobiec,non tweet
3476,TheeCalifornian,Twitter,non tweet
3477,TheeCalifornian,RealCandaceO,non tweet
3498,SalzenBart,FBI,non tweet
3529,LJ00264123,NYGovCuomo,non tweet
3561,mistu_kum_san,nowthisnews,non tweet
3562,AnnoDom197848,TomiLahren,non tweet
3566,17Q45,TheDemocrats,non tweet
3568,2whltrvlr,POTUS,non tweet
3569,2whltrvlr,FLOTUS,non tweet
3571,Chinofiuf,dbongino,non tweet
3584,SheHooKnows,nowthisnews,non tweet
3606,toofatshakur,DineshDSouza,non tweet
3616,KillahB_5,TomiLahren,non tweet
3623,Amylia80,people,non tweet
3702,Problematic2021,TomiLahren,non tweet
3713,CrockerBoy,nowthisnews,non tweet
3784,hfall014,JoeBiden,non tweet
3785,hfall014,TheDemocrats,non tweet
3786,hfall014,GOP,non tweet
3790,DanUmthun,GOP,non tweet
3820,OGDefJef,SportsCenter,non tweet
3827,PeachyNecy,GOP,non tweet
3864,LutherSpeaks,Kaepernick7,non tweet
3893,nighthawkgamer0,CNN,non tweet
3894,nighthawkgamer0,MSNBC,non tweet
3951,ImperatriceV,VP,non tweet
3952,ImperatriceV,FoxNews,non tweet
3958,ImperatriceV,DonaldJTrumpJr,non tweet
3978,a_rage_machine,CNN,non tweet
3979,jzlim,CNN,non tweet
3990,kweriousgeorge,seanhannity,non tweet
3994,2whltrvlr,POTUS,non tweet
3995,2whltrvlr,FLOTUS,non tweet
4011,PenceNewAgnew,JoeNBC,non tweet
4021,TruCrisT,RealCandaceO,non tweet
4030,islandgirl222,Acosta,non tweet
4046,PRuff21,MSNBC,non tweet
4061,JenGarson,Kaepernick7,non tweet
4118,GeorgeEJonesJr,thehill,non tweet
4170,__gnarly,GavinNewsom,non tweet
4176,hfall014,IvankaTrump,non tweet
4195,Michell66010778,GavinNewsom,non tweet
4213,cheeks6675,Kaepernick7,non tweet
4220,sepia_chic,kaepernick7,non tweet
4231,gladiatorinpink,Kaepernick7,non tweet
4241,KidsNotMarkets,gop,non tweet
4285,PHK3,GOP,non tweet
4289,TLee7474,GavinNewsom,non tweet
4307,jim261bob,ABCNews,non tweet
4308,jim261bob,ABC,non tweet
4365,MsBee_A_D,Kaepernick7,non tweet
4377,MullahRob,GOP,non tweet
4392,305ALLtheWAY,FINALLEVEL,non tweet
4419,Milo_1278,GOP,non tweet
4443,ImperatriceV,FoxNews,non tweet
4448,ImperatriceV,VP,non tweet
4497,Is_Purple,AOC,non tweet
4586,adammit35891312,FoxNews,non tweet
4600,ImperatriceV,FoxNews,non tweet
4603,ImperatriceV,VP,non tweet
4645,kczen2,chelseahandler,non tweet
4681,NDTran21,FoxNews,non tweet
4682,NDTran21,cnn,non tweet
4683,NDTran21,washingtonpost,non tweet
4684,NDTran21,CBSNews,non tweet
4694,samson559,chelseahandler,non tweet
4743,NaytDX,JoeBiden,non tweet
4763,aemoreira81,RealCandaceO,non tweet
4793,upstate__nate,TomiLahren,non tweet
4794,KarishLinda,SaharaReporters,non tweet
4820,OhThePain81,gop,non tweet
4833,seantbrown,dbongino,non tweet
4911,the16skeletons,ABC,non tweet
4919,Fernieflores,HuffPost,non tweet
4923,DanBeThyName,FINALLEVEL,non tweet
4924,Fernieflores,HuffPost,non tweet
4925,Fernieflores,GOP,non tweet
4949,ImaGroucho,politico,non tweet
5022,Mrcpeteach,GOP,non tweet
5024,Mrcpeteach,foxnews,non tweet
5025,Mrcpeteach,CNN,non tweet
5026,Mrcpeteach,ABC,non tweet
5049,TheBreakerOfWal,Kaepernick7,non tweet
5057,TheBreakerOfWal,AOC,non tweet
5072,debbiefrombklyn,VP,non tweet
5073,debbiefrombklyn,POTUS,non tweet
5076,debbiefrombklyn,WhiteHouse,non tweet
5077,debbiefrombklyn,GOP,non tweet
5078,debbiefrombklyn,StateDept,non tweet
5079,debbiefrombklyn,TheJusticeDept,non tweet
5096,TheBreakerOfWal,AOC,non tweet
5101,EirolSivad,dbongino,non tweet
5115,TheBreakerOfWal,potus,non tweet
5125,TheBreakerOfWal,POTUS,non tweet
5129,GeorgeEJonesJr,JoeBiden,non tweet
5150,TheBreakerOfWal,AOC,non tweet
5152,TheBreakerOfWal,IlhanMN,non tweet
5154,TheBreakerOfWal,BernieSanders,non tweet
5254,Escobar20013,TomiLahren,non tweet
5276,AXLtheSarcastic,GOP,non tweet
5288,VeggiePowered,Kaepernick7,non tweet
5310,al_ghazi1,Kaepernick7,non tweet
5419,_RedJak,TomiLahren,non tweet
5446,jdd2169,TomiLahren,non tweet
5478,trentc,IvankaTrump,non tweet
5487,PowellClayton,dbongino,non tweet
5538,YesTrumpLost,PressSec,non tweet
5585,shy_boogs,TomiLahren,non tweet
5588,TheRealSikko,Kaepernick7,non tweet
5589,AhimsaAddiction,Alyssa_Milano,non tweet
5631,AaronsNina60,VP,non tweet
5647,MedPierre,wolfblitzer,non tweet
5649,MedPierre,Acosta,non tweet
5652,MedPierre,maddow,non tweet
5653,MedPierre,AC360,non tweet
5679,trophicsoul,GavinNewsom,non tweet
5686,bellafea71,GOP,non tweet
5693,tom_hogue_sr,dbongino,non tweet
5706,QuieseBeatz,Twitter,non tweet
5707,JonHenryMusic,IngrahamAngle,non tweet
5719,asharm4,GOP,non tweet
5819,Vader671,jaketapper,non tweet
5821,Vader671,CNN,non tweet
5850,TheBondGuy2,IngrahamAngle,non tweet
5880,BlueLivesNYC,VP,non tweet
5890,BrianGrNotABot,gop,non tweet
5921,Pete_Geller,gop,non tweet
5929,crog2020,gop,non tweet
5969,TweetingTomTom,FoxNews,non tweet
5972,AmericaFirst,POTUS,non tweet
5997,jdd2169,TomiLahren,non tweet
6021,bravoloverfan,tedcruz,non tweet
6022,bravoloverfan,marcorubio,non tweet
6162,LiveLifeLuvWell,icecube,non tweet
6163,LiveLifeLuvWell,FINALLEVEL,non tweet
6164,LiveLifeLuvWell,Kaepernick7,non tweet
6193,LiveLifeLuvWell,Kaepernick7,non tweet
6206,ThugE_Fresh,TomiLahren,non tweet
6212,BlockchainRasta,Diddy,non tweet
6213,BlockchainRasta,KamalaHarris,non tweet
6237,DonnyTrumpFlake,thehill,non tweet
